Company,Category,Subcategory,Website,MainPhone,AffiliateProgramURL,AffiliateEmail,AffiliatePlatform,RecommendedContactPath,Priority,Status,Notes
Carex,Environmental — Light,Full-Spectrum Lamps,https://carex.com,1-800-526-8051,No public affiliate program found,Not publicly listed,Direct — Outreach Required,Call 1-800-526-8051; request referral or affiliate partnership via customer service,Low,Open,Consumer health brand; mainly sold via Amazon/retail; check Amazon Associates as fallback for any Amazon-listed SKUs
Verilux,Environmental — Light,Full-Spectrum Lamps,https://verilux.com,1-888-265-0088,No public affiliate program found,Not publicly listed,Amazon Associates (fallback),If no direct affiliate program exists apply to Amazon Associates for any Verilux ASIN; main phone 1-888-265-0088,Low,Open,Happy Light brand; widely retail-distributed; Amazon Associates is likely best coverage
Air Doctor,Environmental — Air,Air Purifier,https://airdoctorpro.com,Not publicly listed,https://airdoctorpro.com/pages/affiliate-program,Not publicly listed,Impact,Apply via Impact platform through airdoctorpro.com/pages/affiliate-program,High,Open,TJ-flagged Air Doctor 2000; strong clinical/functional medicine alignment; good AOV
IQAir,Environmental — Air,Premium Air Purifiers,https://iqair.com,1-877-715-4247,https://www.iqair.com/us/professional-partners,Not publicly listed,Direct (Partner Program),Apply via iqair.com/us/professional-partners — practitioner partner program not a standard consumer affiliate; call 1-877-715-4247 for partner onboarding,High,Open,Premium brand; highest AOV in category; practitioner partner program may offer better terms than consumer affiliate
Coway,Environmental — Air,Mid-Tier Air Purifiers,https://coway-usa.com,1-888-415-2692,No public affiliate program found — check ShareASale,Not publicly listed,ShareASale (check),Search ShareASale merchant directory for Coway; if not listed call 1-888-415-2692 and ask for partnerships,Medium,Open,Popular mid-tier brand; strong Amazon presence — Amazon Associates fallback applicable
Awair,Environmental — Air,Air Quality Monitor,https://getawair.com,Not publicly listed,No public affiliate program found,Not publicly listed,Direct — Outreach Required,Contact via getawair.com contact form; pitch referral arrangement for practitioner recommendation,Medium,Open,Smart home / air quality monitor brand; B2B and consumer lines
Temtop,Environmental — Air,Air Quality Monitor,https://temtopus.com,Not publicly listed,No public affiliate program found,Not publicly listed,Amazon Associates (fallback),Primarily Amazon-sold; apply via Amazon Associates for Temtop ASINs as primary path,Low,Open,Budget-friendly monitor; Amazon is primary channel
Airthings,Environmental — Air,Air Quality Monitor,https://airthings.com,Not publicly listed,https://www.airthings.com/partner-program,Not publicly listed,Direct (Partner Program),Apply via airthings.com/partner-program — practitioner/reseller tier available,Medium,Open,Radon + VOC + CO2 monitoring; credible brand; partner program documented
ImmunoLytics,Environmental — Air,Mold Test Kits,https://immunolytics.com,1-800-338-5028,No public affiliate program — direct outreach required,Not publicly listed,Direct — Outreach Required,Call 1-800-338-5028; ask for affiliate or referral arrangement for practitioners recommending mold testing,Medium,Open,Niche mold testing lab; practitioner referral arrangement more likely than consumer affiliate
EMSL Analytical,Environmental — Air,Mold Lab Testing,https://www.emsl.com,1-800-220-3675,No public affiliate program found,Not publicly listed,Direct — Outreach Required,Call 1-800-220-3675; large commercial lab — ask for practitioner referral or co-marketing arrangement,Low,Open,National mold/environmental testing lab; B2B focus; affiliate not typical — referral code arrangement more realistic
AquaTru,Environmental — Water,Countertop RO Filter,https://aquatru.com,Not publicly listed,https://aquatru.com/pages/affiliate-program,affiliates@aquatru.com,ShareASale,Apply via ShareASale or direct at aquatru.com/pages/affiliate-program; email affiliates@aquatru.com to introduce practice context,High,Open,TJ-flagged; countertop RO — high consumer demand; clean brand alignment
Berkey / Big Berkey,Environmental — Water,Gravity-Fed Countertop Filter,https://berkeyfilters.com,1-877-99-BERKEY,https://berkeyfilters.com/pages/affiliate-program,Not publicly listed,ShareASale,Apply via ShareASale merchant directory for Berkey; main phone 1-877-992-3753,High,Open,Gravity-fed; no electricity required — strong off-grid / preparedness angle; two entries merged (Berkey + Big Berkey same company)
Waterdrop,Environmental — Water,Under-Sink RO + Countertop,https://waterdropfilter.com,Not publicly listed,https://waterdropfilter.com/pages/affiliate,Not publicly listed,Impact,Apply via Impact platform through waterdropfilter.com/pages/affiliate,High,Open,Fast-growing brand; strong Amazon and DTC presence; modern design aesthetic
iSpring,Environmental — Water,Under-Sink + Whole-Home RO,https://www.ispringsystems.com,1-678-261-7611,https://www.ispringsystems.com/pages/affiliate-program,Not publicly listed,Direct,Apply via ispringsystems.com/pages/affiliate-program; call 1-678-261-7611 for partnership questions,Medium,Open,Broad product line covers under-sink and whole-home — good for comprehensive water protocol
Apex,Environmental — Water,Under-Sink RO,https://www.apexwaterfilters.com,Not publicly listed,No public affiliate program found,Not publicly listed,Amazon Associates (fallback),Primarily Amazon-sold; Amazon Associates is the realistic path; check brand website for any direct program,Low,Open,Budget under-sink RO; Amazon primary channel
Crystal Quest,Environmental — Water,Under-Sink + Whole-Home,https://crystalquest.com,1-800-934-0051,No public affiliate program found,Not publicly listed,Direct — Outreach Required,Call 1-800-934-0051; ask for referral/affiliate arrangement for practitioner referrals,Low,Open,Broad filtration line; older brand; no modern affiliate infrastructure evident
Analemma,Environmental — Water,Structured Water Wand,https://analemma-water.com,Not publicly listed,https://analemma-water.com/pages/affiliates,Not publicly listed,Direct,Apply via analemma-water.com/pages/affiliates,Medium,Open,Niche structured water product; premium price point; strong biohacker community appeal
Vitalizer Plus,Environmental — Water,Structured Water Device,https://vitalizerplus.com,Not publicly listed,No public affiliate program found,Not publicly listed,Direct — Outreach Required,Contact via vitalizerplus.com; ask about referral or reseller arrangement,Low,Open,Older structured water device brand; limited web presence
LifeStraw,Environmental — Water,Travel Filter,https://lifestraw.com,Not publicly listed,https://lifestraw.com/pages/affiliate-program,Not publicly listed,ShareASale,Apply via ShareASale for LifeStraw; mission-driven brand — referral angle ties to travel + emergency preparedness,Low,Open,B1G1 social mission; lower AOV; good for travel/prep content but lower revenue per sale
TriField,Environmental — EMF,EMF Meter,https://trifield.com,Not publicly listed,No public affiliate program found,Not publicly listed,Amazon Associates (fallback),TF2 model primarily sold via Amazon; apply Amazon Associates for ASIN B07W836F4Q; contact trifield.com for any direct program,High,Open,TJ-flagged TF2 model; best practical path is Amazon Associates for the ASIN
Cornet,Environmental — EMF,EMF Meter,https://www.cornetmicro.com,Not publicly listed,No public affiliate program found,Not publicly listed,Amazon Associates (fallback),Primarily Amazon-sold; Amazon Associates fallback for Cornet ASINs,Medium,Open,Budget EMF meters; widely bought via Amazon
Acousticom,Environmental — EMF,RF Meter,https://www.emfields-solutions.com,Not publicly listed,No public affiliate program found,Not publicly listed,Direct — Outreach Required,Contact via emfields-solutions.com; UK-based — ask about international referral arrangement,Low,Open,UK brand (EMFields Solutions); niche RF meter for professionals
Defenders,Environmental — EMF,EMF Shielding Fabric,https://www.less-emf.com,1-518-432-1550,No public affiliate program found,Not publicly listed,Direct — Outreach Required,Call 1-518-432-1550; older catalog-style business — ask about referral/reseller arrangement,Low,Open,Less-EMF brand; niche shielding supplier; no modern affiliate infrastructure
Shieldex,Environmental — EMF,Silver-Thread Shielding,https://www.shieldex.de,Not publicly listed,No public affiliate program found — B2B wholesale only,Not publicly listed,Direct — Outreach Required,German manufacturer; B2B wholesale only — not a consumer affiliate play; contact via shieldex.de for North American distributor info,Low,Open,Textile manufacturer; sold through distributors; consumer affiliate not applicable
Yshield,Environmental — EMF,EMF Shielding Paint + Canopy,https://yshield.com,Not publicly listed,No public affiliate program found,Not publicly listed,Direct — Outreach Required,Contact via yshield.com; ask about referral or practitioner discount for recommending to clients,Low,Open,German EMF shielding brand; serious practitioners use this; niche but high-intent buyers
Faraday Defense,Environmental — EMF,Phone Pouches + Faraday Bags,https://faradaydefense.com,Not publicly listed,No public affiliate program found,Not publicly listed,Direct — Outreach Required,Contact via faradaydefense.com contact form; ask about affiliate or referral program,Low,Open,Consumer Faraday products; growing market; may have informal referral program
Earthing.com,Environmental — Grounding,Grounding Sleep Mat + Products,https://www.earthing.com,1-888-923-0001,https://www.earthing.com/pages/affiliates,affiliates@earthing.com,Direct,Apply at earthing.com/pages/affiliates; email affiliates@earthing.com with practitioner context; call 1-888-923-0001 if no response within 5 business days,High,Open,TJ-flagged for sleep mat; Clint Ober's original brand; most credible source; ask for practitioner uplift
Hooga,Environmental — Grounding,Grounding Mats + Red Light,https://hoogahealth.com,Not publicly listed,https://hoogahealth.com/pages/affiliate-program,Not publicly listed,Direct,Apply via hoogahealth.com/pages/affiliate-program,Medium,Open,Also sells red light panels; broad product overlap with multiple categories
Earth Runners,Environmental — Grounding,Grounding Sandals,https://earthrunners.com,Not publicly listed,https://earthrunners.com/pages/affiliates,Not publicly listed,Direct,Apply via earthrunners.com/pages/affiliates,Medium,Open,Grounding sandal niche; strong community brand; good for active/outdoor audience
Bedrock Sandals,Environmental — Grounding,Minimalist + Grounding Sandals,https://bedrocksandals.com,Not publicly listed,No public affiliate program found,Not publicly listed,Direct — Outreach Required,Contact via bedrocksandals.com; ask about affiliate or referral arrangement,Low,Open,Minimalist sandal brand; limited EMF/grounding positioning but popular in ancestral health community
Ground Therapy,Environmental — Grounding,Grounding Mats,https://www.groundtherapy.com,Not publicly listed,No public affiliate program found,Not publicly listed,Direct — Outreach Required,Contact via groundtherapy.com contact form; ask about affiliate or referral program,Low,Open,Niche grounding mat brand; check website for any current affiliate signup
SaunaSpace,Sauna,FIR Cabin / Near-Infrared,https://saunaspace.com,Not publicly listed,https://saunaspace.com/pages/affiliate-program,affiliates@saunaspace.com,Direct,Apply at saunaspace.com/pages/affiliate-program; email affiliates@saunaspace.com with practitioner bio,High,Open,Near-infrared sauna cabin; premium price point ($2K–$5K+); high commission dollars per sale; strong clinical community presence
Therasage,Sauna,FIR Cabin + Devices,https://therasage.com,Not publicly listed,https://therasage.com/pages/affiliate-program,Not publicly listed,Direct,Apply via therasage.com/pages/affiliate-program,High,Open,Portable FIR sauna + multi-device brand; popular in functional medicine circles
Sun Home Saunas,Sauna,Premium FIR Cabin,https://sunhomesaunas.com,1-855-786-6486,https://sunhomesaunas.com/pages/affiliate-program,Not publicly listed,Direct,Apply via sunhomesaunas.com/pages/affiliate-program; call 1-855-786-6486 for partnership questions,High,Open,Premium FIR cabin; high AOV; call after applying to request dedicated manager
Clearlight Saunas,Sauna,Premium FIR Cabin,https://infraredsauna.com,1-800-317-5070,https://infraredsauna.com/pages/affiliate,Not publicly listed,Direct,Apply via infraredsauna.com/pages/affiliate; call 1-800-317-5070 to follow up,High,Open,Flagship premium brand; full spectrum + FIR options; high AOV = high commission per sale
MiHIGH,Sauna,FIR Sauna Blanket,https://mihigh.com,Not publicly listed,https://mihigh.com/pages/affiliates,Not publicly listed,Impact,Apply via Impact platform through mihigh.com/pages/affiliates,Medium,Open,FIR sauna blanket; lower AOV than cabin but impulse-friendly; strong influencer program
Almost Heaven Saunas,Sauna,Barrel + Traditional Wood Sauna,https://almostheavensaunas.com,1-800-537-2862,No public affiliate program found — direct outreach required,Not publicly listed,Direct — Outreach Required,Call 1-800-537-2862; ask about dealer/referral arrangement — traditional sauna brand likely uses dealer model not consumer affiliate,Medium,Open,West Virginia-made; traditional wood sauna; dealer/reseller model likely more appropriate than affiliate
Backcountry Recreation,Sauna,Outdoor Barrel Sauna,https://backcountryrecreation.com,1-800-617-2861,No public affiliate program found — direct outreach required,Not publicly listed,Direct — Outreach Required,Call 1-800-617-2861; ask about referral arrangement for practitioner-driven sales,Low,Open,Outdoor barrel saunas; niche product; no affiliate infrastructure evident
Ice Barrel,Cold Plunge,Vertical Cold Tub,https://icebarrel.com,Not publicly listed,https://icebarrel.com/pages/affiliate-program,affiliates@icebarrel.com,Direct,Apply at icebarrel.com/pages/affiliate-program; email affiliates@icebarrel.com with practitioner context,High,Open,Popular brand in wellness community; vertical design; strong social proof; mid AOV
Plunge,Cold Plunge,Premium Pre-Built Cold Plunge,https://plunge.com,Not publicly listed,https://plunge.com/pages/affiliates,Not publicly listed,Impact,Apply via Impact platform through plunge.com/pages/affiliates,High,Open,Premium brand; strong DTC marketing; high AOV; chiller-integrated; ask for practitioner/clinician rate
Cold Stoic,Cold Plunge,Cold Plunge Chiller for Jacuzzi Conversion,https://coldstoic.com,Not publicly listed,No public affiliate program found — direct outreach required,Not publicly listed,Direct — Outreach Required,Contact via coldstoic.com; TJ-flagged — ask directly about referral or affiliate arrangement,High,Open,TJ-flagged; chiller for jacuzzi/tub conversion; niche product — direct referral arrangement most likely path
Penguin Chillers,Cold Plunge,Cold Plunge Chillers,https://penguinchillers.com,1-844-346-7872,No public affiliate program found — direct outreach required,Not publicly listed,Direct — Outreach Required,Call 1-844-346-7872; TJ-flagged — ask about referral arrangement for practitioner recommendations; high-ticket product,High,Open,TJ-flagged; commercial-grade chillers; high AOV; referral deal likely worth negotiating directly
Polar Recovery,Cold Plunge,Inflatable Ice Tub,https://polarrecovery.com,Not publicly listed,No public affiliate program found,Not publicly listed,Direct — Outreach Required,Contact via polarrecovery.com; ask about affiliate or referral program,Medium,Open,Entry-level inflatable option; lower AOV; good for clients not ready to invest in a full plunge setup
Inergize,Cold Plunge,Cold Tub,https://inergizehealth.com,Not publicly listed,No public affiliate program found,Not publicly listed,Direct — Outreach Required,Contact via inergizehealth.com; ask about affiliate or referral program,Medium,Open,Newer brand; check website for any current affiliate signup
Edge Tubs,Cold Plunge,Premium Cold Plunge Tub,https://edgetubs.com,Not publicly listed,No public affiliate program found,Not publicly listed,Direct — Outreach Required,Contact via edgetubs.com; ask about affiliate or referral arrangement; premium product = high AOV,Medium,Open,Premium aesthetics; growing brand; no public affiliate infrastructure found
Manitowoc,Cold Plunge,Commercial Ice Machine (refurb market),https://manitowocbeverage.com,1-920-682-0161,No affiliate program — commercial equipment dealer model,Not publicly listed,Not Applicable,This is a commercial equipment manufacturer sold via dealers; not a consumer affiliate play. Recommend clients to local restaurant equipment dealers for refurb units. Call 1-920-682-0161 for dealer locator.,Low,Open,DIY cold plunge reference; no affiliate applicable — recommend clients to local equipment dealers
Hoshizaki,Cold Plunge,Commercial Ice Machine,https://hoshizakiamerica.com,1-800-438-6087,No affiliate program — commercial equipment dealer model,Not publicly listed,Not Applicable,Commercial ice machine manufacturer; dealer-only model. Call 1-800-438-6087 for dealer locator. Amazon Associates may cover some consumer-tier models.,Low,Open,DIY cold plunge reference; commercial dealer model; not a consumer affiliate play
Scotsman,Cold Plunge,Commercial Ice Machine,https://scotsman-ice.com,1-800-726-8762,No affiliate program — commercial equipment dealer model,Not publicly listed,Not Applicable,Commercial ice machine manufacturer; dealer-only model. Call 1-800-726-8762 for dealer locator.,Low,Open,DIY cold plunge reference; commercial dealer model; not applicable to consumer affiliate
Tractor Supply Co.,Cold Plunge,Galvanized Horse Trough (DIY Plunge),https://tractorsupply.com,1-877-718-6750,No affiliate program found for this use case,Not publicly listed,Not Applicable,Retail chain; no meaningful affiliate program for this use case. Simply recommend clients buy in-store. Mention by brand name without affiliate link.,Low,Open,DIY cold plunge component; not an affiliate play — include as editorial recommendation only
Ancient Minerals,Mineral Bath,Magnesium Flakes,https://ancient-minerals.com,Not publicly listed,https://ancient-minerals.com/affiliate-program,Not publicly listed,Direct,Apply via ancient-minerals.com/affiliate-program,High,Open,Premium magnesium brand; transdermal protocol alignment; strong functional medicine credibility
Life-flo,Mineral Bath,Magnesium Flakes + Oil,https://life-flo.com,Not publicly listed,No public affiliate program — sold primarily via Amazon,Not publicly listed,Amazon Associates (fallback),Apply via Amazon Associates for Life-flo ASINs; check life-flo.com for any direct program,Medium,Open,Budget-friendly magnesium line; Amazon primary channel
San Francisco Salt Co.,Mineral Bath,Dead Sea Salt,https://www.sfsalt.com,1-800-353-7258,https://www.sfsalt.com/affiliate-program,Not publicly listed,ShareASale,Apply via ShareASale for San Francisco Salt Co.; call 1-800-353-7258 for partnership questions,Medium,Open,Broad mineral salt line; good AOV on bulk orders
Minera,Mineral Bath,Dead Sea Salt,https://minerasalt.com,Not publicly listed,https://minerasalt.com/affiliate-program,Not publicly listed,Direct,Apply via minerasalt.com/affiliate-program,Medium,Open,Dedicated Dead Sea salt brand; good affiliate program documentation on site
Sherpa Pink,Mineral Bath,Himalayan Salt,https://www.sherpapink.com,Not publicly listed,No public affiliate program found — sold primarily via Amazon,Not publicly listed,Amazon Associates (fallback),Apply via Amazon Associates for Sherpa Pink ASINs (sold primarily on Amazon),Low,Open,Popular Himalayan salt brand; Amazon primary distribution channel
Sky Organics,Mineral Bath,Epsom Salt (Pure),https://skyorganics.com,Not publicly listed,https://skyorganics.com/pages/affiliate-program,Not publicly listed,Direct,Apply via skyorganics.com/pages/affiliate-program,Low,Open,Clean / organic positioning; good brand alignment; low AOV on Epsom
ButcherBox,Food / Nutrition,Grass-Fed Beef + Wild Salmon,https://butcherbox.com,Not publicly listed,https://butcherbox.com/affiliate-program,affiliates@butcherbox.com,Impact,Apply via Impact platform through butcherbox.com/affiliate-program; email affiliates@butcherbox.com with practitioner context,High,Open,Recurring subscription model = recurring commissions; strong brand recognition; flagship food affiliate
US Wellness Meats,Food / Nutrition,Organ Meats + Game,https://grasslandbeef.com,1-877-383-0051,https://grasslandbeef.com/pages/affiliates,Not publicly listed,Direct,Apply via grasslandbeef.com/pages/affiliates; call 1-877-383-0051 for partnership questions,High,Open,Organ meat + ancestral nutrition alignment; practitioner referral code available
Vital Choice,Food / Nutrition,Wild-Caught Seafood,https://vitalchoice.com,1-800-608-4825,https://vitalchoice.com/affiliate,Not publicly listed,CJ Affiliate,Apply via CJ Affiliate for Vital Choice; call 1-800-608-4825 for partnership questions,High,Open,Premium wild seafood; strong omega-3 / anti-inflammatory protocol alignment
Force of Nature,Food / Nutrition,Ancestral Blend Meat,https://forceofnaturemeats.com,Not publicly listed,https://forceofnaturemeats.com/pages/ambassador-program,Not publicly listed,Direct (Ambassador),Apply via forceofnaturemeats.com/pages/ambassador-program; ambassador model with referral code,High,Open,Regenerative + ancestral meat brand; strong mission alignment; ambassador model (not classic affiliate)
Ancestral Supplements,Food / Nutrition,Organ Capsules,https://ancestralsupplements.com,Not publicly listed,https://ancestralsupplements.com/pages/affiliate,Not publicly listed,Direct,Apply via ancestralsupplements.com/pages/affiliate,High,Open,Brian Johnson brand; organ capsule flagship; strong ancestral health community credibility
Thrive Market,Food / Nutrition,Pantry Staples (Clean),https://thrivemarket.com,Not publicly listed,https://thrivemarket.com/lp/affiliate-partner,Not publicly listed,Impact,Apply via Impact platform through thrivemarket.com/lp/affiliate-partner,High,Open,Membership model; recurring revenue alignment; broad pantry coverage for the 4M nutrition protocol
Crowd Cow,Food / Nutrition,Premium Meat,https://crowdcow.com,Not publicly listed,https://crowdcow.com/affiliates,Not publicly listed,Impact,Apply via Impact platform through crowdcow.com/affiliates,Medium,Open,Farm-direct meat; premium positioning; subscription available
Primal Kitchen,Food / Nutrition,Condiments + Cooking Oils,https://primalkitchen.com,Not publicly listed,https://primalkitchen.com/pages/affiliate-program,Not publicly listed,ShareASale,Apply via ShareASale for Primal Kitchen; Mark Sisson brand — strong functional nutrition brand alignment,Medium,Open,Paleo/keto condiments; widely available in retail — Amazon Associates also applicable for any Amazon-listed SKUs
Truvani,Food / Nutrition,Clean Protein + Supplements,https://truvani.com,Not publicly listed,https://truvani.com/pages/affiliate-program,Not publicly listed,Direct,Apply via truvani.com/pages/affiliate-program,Medium,Open,Vani Hari (Food Babe) brand; clean ingredient positioning; good supplement alignment
Lumosity,Cognitive / Brain Training,Brain Training Subscription,https://lumosity.com,Not publicly listed,https://www.lumosity.com/en/affiliates,Not publicly listed,CJ Affiliate,Apply via CJ Affiliate for Lumosity; mention clinical/practitioner recommendation context,Medium,Open,Largest consumer brain training brand; subscription model = recurring potential
BrainHQ / Posit Science,Cognitive / Brain Training,Brain Training (Clinically Validated),https://brainhq.com,1-888-765-2810,https://www.brainhq.com/partners,partnerprogram@positscience.com,Direct (Partner Program),Apply via brainhq.com/partners; email partnerprogram@positscience.com; call 1-888-765-2810; clinician partner program offers professional licensing,High,Open,Most clinically validated brain training platform; clinician/partner program offers professional licensing — higher credibility and better terms than consumer affiliate
Peak,Cognitive / Brain Training,Brain Training App,https://peak.net,Not publicly listed,No public affiliate program found,Not publicly listed,Direct — Outreach Required,Contact via peak.net; UK-based app; ask about affiliate or referral arrangement,Low,Open,Consumer brain training app; mobile-only; limited affiliate infrastructure found
Elevate,Cognitive / Brain Training,Brain Training App,https://elevateapp.com,Not publicly listed,No public affiliate program found,Not publicly listed,Direct — Outreach Required,Contact via elevateapp.com; ask about affiliate or referral arrangement,Low,Open,Focus on language + math skills; consumer app; limited affiliate infrastructure found
Connected Mind,Cognitive / Brain Training,Brain Training (TJ Special Arrangement),https://connectedmind.com,Not publicly listed,DIRECT — NOT AFFILIATE,Not publicly listed,DIRECT — Not Affiliate,TJ has an existing direct arrangement with Connected Mind — do NOT apply via any affiliate network; manage relationship directly,High,Open,DIRECT ARRANGEMENT — NOT AFFILIATE. TJ has special deal in place. Do not duplicate via affiliate signup.
Sunnyside,Substance Use / Cessation,Alcohol Moderation App,https://www.sunnyside.co,Not publicly listed,https://www.sunnyside.co/affiliates,Not publicly listed,Impact,Apply via Impact platform through sunnyside.co/affiliates; mention clinical recommendation context,High,Open,Alcohol moderation app; subscription model; strong alignment with TJ's men's health behavioral change messaging
Reframe,Substance Use / Cessation,Alcohol Cessation App,https://reframeapp.com,Not publicly listed,No public affiliate program found — direct outreach required,Not publicly listed,Direct — Outreach Required,Contact via reframeapp.com; ask about affiliate or clinical referral arrangement; subscription model,High,Open,Neuroscience-based alcohol cessation; subscription; strong clinical alignment
I Am Sober,Substance Use / Cessation,Sobriety Tracker App,https://iamsober.com,Not publicly listed,No public affiliate program found,Not publicly listed,Direct — Outreach Required,Contact via iamsober.com; freemium app — affiliate commission likely on premium subscription upgrade,Medium,Open,Free + premium tier; sobriety community app; lower revenue per referral
Nicorette,Substance Use / Cessation,Nicotine Replacement,https://nicorette.com,Not publicly listed,No public affiliate program — retail / pharmacy brand,Not publicly listed,Amazon Associates (fallback),Retail pharmacy brand (Haleon); no direct affiliate program; Amazon Associates applicable for any Amazon-listed SKUs; brand mention without affiliate link is also fine,Low,Open,OTC nicotine replacement; widely available retail; low affiliate revenue potential — editorial mention may be more practical
SMART Recovery,Substance Use / Cessation,FREE Resource — No Affiliate,https://www.smartrecovery.org,1-440-951-5357,FREE RESOURCE — No affiliate program,Not publicly listed,Not Applicable — Free Resource,DO NOT pursue affiliate arrangement. List as a free community resource on TJ's platform. Important to brand promise: not every solution drives revenue.,N/A,Open,FREE RESOURCE. Science-based addiction recovery community. List publicly as a free resource — supports TJ's brand integrity that client welfare > revenue.
Alcoholics Anonymous,Substance Use / Cessation,FREE Resource — No Affiliate,https://www.aa.org,Not publicly listed,FREE RESOURCE — No affiliate program,Not publicly listed,Not Applicable — Free Resource,DO NOT pursue affiliate arrangement. List as a free community resource. Brand integrity: not every solution drives revenue.,N/A,Open,FREE RESOURCE. 12-step community. List publicly as a free resource — critical for TJ's ethical brand positioning.
Recovery Dharma,Substance Use / Cessation,FREE Resource — No Affiliate,https://recoverydharma.org,Not publicly listed,FREE RESOURCE — No affiliate program,Not publicly listed,Not Applicable — Free Resource,DO NOT pursue affiliate arrangement. List as a free community resource.,N/A,Open,FREE RESOURCE. Buddhist-inspired recovery community. List publicly.
Nicotine Anonymous,Substance Use / Cessation,FREE Resource — No Affiliate,https://nicotine-anonymous.org,Not publicly listed,FREE RESOURCE — No affiliate program,Not publicly listed,Not Applicable — Free Resource,DO NOT pursue affiliate arrangement. List as a free community resource.,N/A,Open,FREE RESOURCE. 12-step nicotine cessation community. List publicly.
SAMHSA,Substance Use / Cessation,FREE Resource — No Affiliate,https://www.samhsa.gov,1-800-662-4357,FREE RESOURCE — Federal agency no affiliate program,Not publicly listed,Not Applicable — Free Resource,DO NOT pursue affiliate arrangement. Government resource — list publicly with the National Helpline number 1-800-662-4357.,N/A,Open,FREE RESOURCE. Federal substance use helpline (free + confidential). List publicly — 1-800-662-4357 is the National Helpline.
Function Health,Lab Testing,Comprehensive Blood Panel,https://functionhealth.com,Not publicly listed,https://functionhealth.com/referral,Not publicly listed,Direct (Referral),Apply via functionhealth.com/referral; referral-code model rather than traditional affiliate,High,Open,Mark Hyman-backed; 100+ biomarker panel; strong functional medicine brand alignment; referral code model
Inside Tracker,Lab Testing,Personalized Blood + DNA Analysis,https://insidetracker.com,Not publicly listed,https://www.insidetracker.com/ambassadors,ambassadors@insidetracker.com,Direct (Ambassador),Apply at insidetracker.com/ambassadors; email ambassadors@insidetracker.com with practitioner context,High,Open,Athlete + longevity positioning; good clinical credibility; ambassador model with referral code
